puma_geoid,tract_geoid
79500US0607322,14000US06073013205
79500US0607322,14000US06073013103
79500US0607322,14000US06073010109
79500US0607322,14000US06073013206
79500US0607322,14000US06073009902
79500US0607322,14000US06073010104
79500US0607322,14000US06073013314
79500US0607322,14000US06073013313
79500US0607312,14000US06073008343
79500US0607312,14000US06073008340
79500US0607312,14000US06073008341
79500US0607312,14000US06073008344
79500US0607312,14000US06073008345
79500US0607312,14000US06073008351
79500US0607312,14000US06073008352
79500US0607312,14000US06073008349
79500US0607312,14000US06073008353
79500US0607312,14000US06073008359
79500US0607312,14000US06073008356
79500US0607312,14000US06073008355
79500US0607312,14000US06073008357
79500US0607312,14000US06073008358
79500US0607312,14000US06073008354
79500US0607312,14000US06073008505
79500US0607312,14000US06073008502
79500US0607312,14000US06073008360
79500US0607312,14000US06073017200
79500US0607312,14000US06073009505
79500US0607312,14000US06073017022
79500US0607312,14000US06073009504
79500US0607312,14000US06073008347
79500US0607312,14000US06073008313
79500US0607312,14000US06073017042
79500US0607312,14000US06073008310
79500US0607312,14000US06073008305
79500US0607312,14000US06073009502
79500US0607312,14000US06073008333
79500US0607312,14000US06073008346
79500US0607312,14000US06073009400
79500US0607312,14000US06073008324
79500US0607312,14000US06073008312
79500US0607312,14000US06073008350
79500US0607312,14000US06073008339
79500US0607312,14000US06073017037
79500US0607312,14000US06073017043
79500US0607312,14000US06073008365
79500US0607312,14000US06073008306
79500US0607312,14000US06073008329
79500US0607312,14000US06073008307
79500US0607312,14000US06073008511
79500US0607312,14000US06073008501
79500US0607312,14000US06073008361
79500US0607312,14000US06073008362
79500US0607312,14000US06073008363
79500US0607312,14000US06073008364
79500US0607315,14000US06073008345
79500US0607315,14000US06073008505
79500US0607315,14000US06073008502
79500US0607315,14000US06073008504
79500US0607315,14000US06073008506
79500US0607315,14000US06073008507
79500US0607315,14000US06073008509
79500US0607315,14000US06073008512
79500US0607315,14000US06073008510
79500US0607315,14000US06073008701
